uuid;name;id;p_income_0;p_income_1;p_income_2;p_income_3
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;35.39;63.88;0.56;0.16
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;65.03;20.86;11.29;2.82
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;94.5;5.16;0.22;0.12
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;72.37;24.32;3.21;0.1
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;80.86;18.79;0.22;0.13
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;24.14;45.76;10.11;19.99
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;61.53;38.12;0.28;0.07
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;29.68;66.71;2.02;1.59
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;84.87;14.36;0.57;0.2
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;76.72;21.79;1.1;0.39
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;23.25;25.75;19.69;31.31
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;50.76;47.95;0.95;0.35
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;89.47;10.14;0.3;0.1
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;30.25;67.95;1.34;0.46
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;52.11;47.4;0.36;0.13
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;27.92;65.73;3.41;2.94
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;63.06;36.52;0.32;0.1
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;38.18;45.73;7.97;8.12
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;65.75;29.34;3.64;1.27
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;21.94;43.61;33.32;1.14
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;22.45;53.59;21.23;2.73
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;54.09;45.64;0.2;0.07
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;70.09;29.53;0.26;0.12
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;17.24;42.71;23.81;16.24
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;34.92;58.67;4.74;1.67
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;24.34;39.04;34.45;2.17
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;90.78;8.99;0.19;0.05
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;61.96;33.38;3.3;1.35
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;85.42;10.57;3.14;0.87
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;18.18;39.08;6.55;36.19
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;15.31;79.87;0.58;4.23
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;24.65;48.88;13.45;13.02
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;65.73;29.87;3.3;1.1
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;69.65;25.57;3.49;1.28
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;69.95;28.12;1.55;0.39
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;87.48;11.81;0.55;0.15
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;30.11;32.03;26.44;11.42
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;42.2;26.93;25.73;5.14
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;58.5;34.99;5.02;1.5
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;81.93;12.03;5.14;0.9
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;85.46;12.79;1.56;0.19
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;59.04;26.02;11.55;3.38
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;65.89;30.75;3.14;0.22
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;8.82;71.84;0.92;18.42
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;38.17;39.26;13.86;8.7
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;89.06;10.61;0.26;0.07
