uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;11.87;1.12;13.38;34.3;21.07;18.27
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;7.91;1.47;14.5;41.97;20.11;14.04
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;13.68;1.78;11.9;28.08;19.74;24.82
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;16.12;0.55;11.61;33.96;19.72;18.05
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;13.08;1.04;11.32;30.13;24.59;19.84
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;14.57;7.51;8.35;31.8;22.2;15.58
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;15.72;1.74;11.47;31.79;24.54;14.74
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;10.85;0.27;10.03;38.77;20.6;19.49
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;15.24;1.07;10.17;29.2;26.21;18.1
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;13.73;2.02;9.92;33.61;17.96;22.76
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;10.97;1.44;14.17;42.37;19.19;11.86
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;12.8;2.33;11.32;27.69;27.44;18.42
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;9.37;0.66;11.82;36.71;20.95;20.49
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;3.51;0.86;12.48;51.88;17.14;14.13
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;12.52;2.2;8.56;22.12;32.55;22.05
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;11.85;0.32;11.49;35.14;21.54;19.67
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;9.84;0.52;11.13;28.4;28.76;21.35
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;17.3;2.1;12.24;34.78;17.14;16.44
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;10.51;1.73;14.77;37.83;20.66;14.51
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;12.14;1.39;12.41;40.55;19.99;13.52
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;18.08;2.81;13.81;34.16;16.38;14.75
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;13.59;0.25;10.46;33.3;22.64;19.75
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;13.18;1.3;9.22;33.78;24.17;18.34
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;16.92;4.37;10.92;31.7;19.91;16.18
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;19.16;1.28;13.01;33.28;15.45;17.83
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;15.87;1.02;11.58;34.74;21.83;14.96
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;10.54;1.88;11.85;37.77;22.08;15.88
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;9.51;0.95;13.37;39.17;19.78;17.22
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;10.21;1.95;8.1;23.74;24.39;31.62
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;17.43;9.34;5.57;28.63;23.45;15.57
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;8.72;2.3;12.42;36.22;22.46;17.87
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;8.92;0.61;10.83;28.21;30.32;21.11
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;10.26;1.73;14.82;38.3;20.6;14.28
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;14.96;1.13;14.84;38.47;18.01;12.58
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;14.33;0.94;13.51;34.48;25.44;11.3
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;13.69;1.2;13.83;36.06;22.12;13.09
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;12.66;2.4;13.75;38.84;19.8;12.56
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;12.7;1.66;15.19;39.33;18.62;12.5
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;18.08;2.39;13.87;31.33;19.41;14.92
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;15.85;1.3;11.45;30.82;18.42;22.17
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;13.79;0.76;11.17;31.78;25.37;17.13
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;9.03;1.65;14.14;40.53;20.58;14.07
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;13.7;0.45;11.98;32.19;24.93;16.76
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;13.67;0.48;11.8;20.82;33.02;20.22
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;13.28;1.33;13.48;40.3;16.29;15.31
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;17.53;0.95;11.63;30.72;22.46;16.71
