uuid;name;id;low;medium_low;medium;medium_high;high
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;0.46;3.74;41.5;52.31;1.99
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;0.1;2.35;65.86;14.69;16.99
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;2.43;52.82;39.28;3.73;1.74
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;31.77;1.28;43.48;19.5;3.97
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;0.08;0.45;81.41;4.41;13.65
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;0.1;3.86;25.54;39.65;30.85
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;4.11;32.82;43.91;15.35;3.81
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;0.06;0.33;37.11;53.24;9.26
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;12.07;6.68;74.76;4.87;1.62
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;0.33;4.65;81.21;9.22;4.59
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;0.08;3.31;27.2;18.62;50.79
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;0.34;6.15;47.39;36.09;10.03
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;0.9;56.62;27.58;5.72;9.18
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;0.12;2.71;88.89;5.21;3.07
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;0.12;1.11;55.53;39.88;3.36
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;0.05;0.48;37.21;49.95;12.31
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;0.07;0.55;79.51;15.95;3.93
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;0.07;0.57;49.68;30.56;19.12
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;0.25;5.9;70.96;15.82;7.06
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;0.09;2.97;31.8;20.55;44.59
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;0.1;0.52;28.3;44.18;26.9
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;0.04;0.54;60.86;27.15;11.41
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;0.03;0.39;77.45;15.26;6.86
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;0.07;0.66;24.08;31.04;44.15
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;0.07;0.61;39.42;51.49;8.41
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;0.13;17.93;72.77;8.0;1.17
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;0.19;3.56;39.43;21.57;35.26
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;1.55;13.21;78.99;4.53;1.72
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;0.16;1.92;66.23;23.04;8.65
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;0.06;61.46;25.2;7.53;5.76
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;0.09;2.98;21.2;30.62;45.11
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;0.04;0.58;31.9;59.08;8.39
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;0.23;5.58;72.33;15.48;6.38
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;0.09;3.69;75.28;12.97;7.96
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;0.05;4.17;69.5;22.83;3.45
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;0.82;11.87;73.13;5.6;8.57
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;0.06;3.79;35.23;25.19;35.72
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;0.08;2.51;46.25;18.62;32.54
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;0.15;5.32;58.03;27.44;9.06
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;0.07;3.68;80.4;7.9;7.95
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;1.28;6.01;73.87;12.33;6.51
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;0.11;2.87;60.72;17.93;18.37
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;0.09;1.11;73.23;19.57;6.0
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;0.16;0.92;23.03;57.27;18.63
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;0.14;0.56;51.21;17.99;30.09
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;2.22;42.69;42.99;5.07;7.03
