uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;5.75;3.29;13.06;36.97;23.57;17.36
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;3.36;3.47;13.33;45.01;21.47;13.36
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;7.19;4.68;11.95;31.81;21.71;22.67
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;8.29;3.03;11.57;36.12;23.24;17.75
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;8.72;2.67;12.28;30.31;27.15;18.88
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;7.66;10.16;8.57;32.8;25.02;15.79
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;6.52;4.64;11.02;34.23;28.46;15.12
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;6.53;1.49;10.68;38.06;23.36;19.88
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;5.98;3.47;11.03;31.5;29.84;18.17
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;11.71;3.35;10.05;35.13;16.05;23.71
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;5.44;4.36;13.37;42.05;22.34;12.43
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;6.43;3.31;11.59;27.52;30.14;21.01
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;4.01;3.33;11.31;37.25;22.39;21.71
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;1.69;3.56;11.95;49.65;18.72;14.43
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;7.33;2.88;9.58;21.68;37.61;20.92
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;6.22;1.79;11.88;36.37;23.79;19.95
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;4.89;2.52;10.34;30.21;30.68;21.36
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;9.19;5.51;12.07;37.58;19.5;16.14
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;5.12;4.03;14.59;39.95;21.67;14.64
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;5.35;3.99;12.19;42.53;22.29;13.65
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;9.71;6.05;13.61;36.67;19.4;14.57
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;7.59;2.06;10.66;34.94;25.0;19.74
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;7.24;3.32;8.2;34.79;27.17;19.28
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;7.72;7.53;11.02;34.69;22.71;16.33
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;8.89;4.64;12.65;36.68;18.65;18.49
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;5.52;3.75;11.42;39.62;23.4;16.3
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;4.5;3.38;12.54;40.64;21.3;17.65
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;5.77;4.26;8.35;25.8;24.6;31.22
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;9.28;11.6;5.32;30.44;27.35;16.0
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;3.83;4.32;12.75;36.32;24.39;18.38
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;4.07;2.1;11.13;28.87;32.5;21.32
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;7.82;11.19;8.84;32.31;24.72;15.13
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;4.81;4.39;14.5;40.58;21.59;14.12
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;6.77;3.99;13.66;40.29;20.59;14.71
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;8.15;2.78;12.95;36.58;26.35;13.19
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;5.97;3.46;14.33;37.91;24.18;14.14
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;6.47;4.88;13.45;39.8;22.08;13.32
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;6.68;4.23;14.77;41.77;20.16;12.39
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;9.83;5.13;13.7;33.18;21.93;16.23
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;7.9;4.15;11.64;34.06;21.02;21.22
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;6.99;3.29;11.55;32.25;27.4;18.51
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;3.88;3.8;13.18;43.44;22.21;13.5
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;7.89;2.43;11.7;33.28;28.41;16.29
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;6.63;1.74;10.81;22.19;37.22;21.41
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;6.19;3.51;13.07;42.42;18.88;15.94
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;7.2;4.94;12.14;32.41;27.4;15.91
