uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;12.7;1.16;12.61;34.29;20.74;18.5
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;7.3;1.25;14.44;43.08;19.41;14.51
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;12.25;1.52;12.64;28.91;19.62;25.06
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;15.44;0.79;11.59;34.56;19.17;18.45
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;16.71;1.1;10.63;30.11;22.59;18.87
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;14.31;7.28;8.57;31.8;22.25;15.79
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;15.62;1.96;11.29;31.76;24.27;15.1
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;8.11;0.25;11.42;39.68;20.72;19.82
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;13.81;1.18;11.14;30.39;24.53;18.95
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;14.12;1.07;10.38;33.94;15.44;25.04
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;9.98;1.54;15.61;42.42;18.85;11.6
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;13.78;1.9;10.88;27.01;26.95;19.47
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;5.91;0.67;11.26;31.52;16.79;33.86
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;3.81;0.85;13.09;48.62;16.99;16.65
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;11.3;0.39;12.71;36.36;20.33;18.9
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;11.3;0.55;10.94;26.48;28.76;21.97
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;16.51;2.55;12.7;35.0;16.77;16.47
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;10.36;1.7;14.89;38.45;19.53;15.07
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;10.26;1.04;13.08;42.2;19.89;13.53
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;17.16;2.75;14.31;34.6;16.31;14.89
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;12.57;1.4;8.67;33.17;22.84;21.34
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;15.92;4.71;11.26;32.88;19.09;16.14
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;16.64;1.23;12.63;33.09;16.05;20.37
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;15.0;1.11;11.79;35.99;21.5;14.61
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;9.93;1.62;11.38;39.2;21.51;16.36
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;9.39;0.68;13.17;38.33;19.2;19.24
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;11.08;1.67;9.02;23.07;21.64;33.52
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;16.29;9.1;5.49;28.61;24.73;15.77
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;9.46;2.14;12.49;35.18;22.23;18.5
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;10.19;0.83;12.72;33.5;25.39;17.37
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;9.74;1.69;15.44;39.17;19.24;14.73
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;18.01;0.93;14.64;36.97;16.75;12.69
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;14.15;0.57;13.58;34.89;24.09;12.72
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;13.11;1.2;15.21;36.08;21.0;13.39
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;11.89;2.47;13.49;38.61;20.13;13.41
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;12.06;1.56;15.52;39.9;17.85;13.11
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;16.55;2.23;13.59;32.51;19.19;15.93
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;14.89;1.26;11.39;32.6;17.99;21.86
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;14.33;0.78;11.22;31.26;23.68;18.73
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;8.46;1.46;14.37;41.41;19.8;14.51
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;16.34;0.46;11.38;36.5;21.78;13.54
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;14.69;0.64;11.98;26.77;29.11;16.8
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;12.83;0.95;14.21;40.73;15.99;15.3
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;16.46;0.72;12.56;29.7;22.02;18.53
