screen_id,0-0,0-1,0-2,0-3,0-4,0-5,0-6,0-7,0-8,0-9,0-10,0-11,0-12,0-13,0-14,0-15,0-16,0-17,0-18,0-19,0-20,0-21,0-22,0-23,1-0,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,2-0,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,3-0,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,4-0,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,5-0,5-1,5-2,5-3,5-4,5-5,5-6,5-7,5-8,5-9,5-10,5-11,5-12,5-13,5-14,5-15,5-16,5-17,5-18,5-19,5-20,5-21,5-22,5-23,6-0,6-1,6-2,6-3,6-4,6-5,6-6,6-7,6-8,6-9,6-10,6-11,6-12,6-13,6-14,6-15,6-16,6-17,6-18,6-19,6-20,6-21,6-22,6-23
569949061,0,0,0,0,0,0,0,0,0,0,54.75,68.75,72.5,76.25,76.75,76.5,76.25,86.25,115.5,119.5,91.75,60.25,0,0,0,0,0,0,0,0,0,0,0,0,54.25,70.75,72.5,74.75,77.5,74.5,71.0,95.25,45.5,45.25,45.5,74.5,0,0,0,0,0,0,0,0,0,0,0,0,58.25,75.5,81.75,79.5,87.0,71.75,76.25,95.0,116.75,113.75,90.5,62.5,0,0,0,0,0,0,0,0,0,0,0,0,61.25000000000001,74.0,79.75,82.75,84.25,80.75,83.0,95.25,120.24999999999999,118.0,103.0,63.5,0,0,0,0,0,0,0,0,0,0,0,0,55.00000000000001,70.5,81.5,76.25,70.75,77.5,91.75,113.5,144.5,154.75,122.75,78.5,0,0,0,0,0,0,0,0,0,0,0,0,68.75,109.25,144.5,141.25,119.0,116.5,129.0,155.5,207.24999999999997,231.75,205.25000000000003,101.75,0,0,0,0,0,0,0,0,0,0,0,0,43.25,56.75,65.0,66.5,66.0,63.24999999999999,66.75,82.25,101.0,103.49999999999999,82.25,48.25,0,0
243398500,0,0,0,0,0,0,0,0,0,0,25.74,29.9,37.699999999999996,36.53,33.41,36.14,34.449999999999996,35.49,43.94,51.22,46.800000000000004,32.76,0,0,0,0,0,0,0,0,0,0,0,0,29.379999999999995,38.09,38.61,34.449999999999996,31.590000000000003,34.32,40.56,41.99,26.389999999999997,26.389999999999997,26.909999999999997,42.77,0,0,0,0,0,0,0,0,0,0,0,0,34.97,41.21,41.47,38.61,37.57,38.09,36.79,44.72,58.75999999999999,60.19,47.71,36.4,0,0,0,0,0,0,0,0,0,0,0,0,31.07,34.97,36.4,32.89,33.02,38.870000000000005,41.86,39.26,47.58,51.61,47.19,33.54,0,0,0,0,0,0,0,0,0,0,0,0,32.89,38.870000000000005,39.52,37.83,34.32,38.22,42.9,58.24000000000001,67.34,68.12,59.410000000000004,46.15,0,0,0,0,0,0,0,0,0,0,0,0,34.449999999999996,44.72,53.04,57.06999999999999,55.77,58.24000000000001,66.3,79.43,101.66,103.09,89.57,60.839999999999996,0,0,0,0,0,0,0,0,0,0,0,0,7.93,6.63,7.93,8.32,12.35,13.39,12.87,16.12,17.16,16.900000000000002,14.95,16.900000000000002,0,0
667656687,0,0,0,0,0,0,0,0,0,0,75.78,82.44,98.28,112.5,108.89999999999999,98.28,95.76,97.56,105.12,101.7,69.66,36.54,0,0,0,0,0,0,0,0,0,0,0,0,90.54,100.62,111.42,117.35999999999999,115.92,106.02,107.28,122.94,49.14,49.14,49.5,73.08,0,0,0,0,0,0,0,0,0,0,0,0,95.76,108.0,120.24,127.08,125.46,114.12,107.82000000000001,117.0,124.02,124.2,77.94,38.699999999999996,0,0,0,0,0,0,0,0,0,0,0,0,73.98,90.54,100.98,113.04,121.5,108.0,108.35999999999999,111.06,107.64000000000001,100.26,76.67999999999999,39.96,0,0,0,0,0,0,0,0,0,0,0,0,82.62,95.58,102.96,111.24,117.35999999999999,119.16,127.62,123.66,139.85999999999999,136.44,110.34,57.6,0,0,0,0,0,0,0,0,0,0,0,0,66.96000000000001,98.64000000000001,123.84,129.78,114.12,109.98,128.88,139.14000000000001,171.35999999999999,171.35999999999999,134.1,57.96,0,0,0,0,0,0,0,0,0,0,0,0,81.35999999999999,101.88,116.64000000000001,124.56,127.26,119.34,118.98,130.5,141.29999999999998,135.35999999999999,98.46,46.62,0,0
145441076,0,0,0,0,0,0,0,0,0,0,29.47,32.06,38.22,43.75,42.35,38.22,37.24,37.94,40.879999999999995,39.550000000000004,27.09,14.209999999999999,0,0,0,0,0,0,0,0,0,0,0,0,35.21,39.129999999999995,43.330000000000005,45.64,45.080000000000005,41.23,41.72,47.81,19.11,19.11,19.25,28.419999999999998,0,0,0,0,0,0,0,0,0,0,0,0,37.24,42.0,46.76,49.419999999999995,48.79,44.379999999999995,41.93,45.5,48.23,48.300000000000004,30.310000000000002,15.049999999999999,0,0,0,0,0,0,0,0,0,0,0,0,28.770000000000003,35.21,39.27,43.96,47.25,42.0,42.14,43.19,41.86,38.99,29.82,15.540000000000001,0,0,0,0,0,0,0,0,0,0,0,0,32.129999999999995,37.169999999999995,40.04,43.26,45.64,46.34,49.629999999999995,48.09,54.39,53.06,42.91,22.400000000000002,0,0,0,0,0,0,0,0,0,0,0,0,26.040000000000003,38.36,48.16,50.47,44.379999999999995,42.77,50.120000000000005,54.11,66.64,66.64,52.15,22.540000000000003,0,0,0,0,0,0,0,0,0,0,0,0,31.639999999999997,39.620000000000005,45.36,48.44,49.49,46.41,46.27,50.75,54.949999999999996,52.64,38.29,18.13,0,0
131256219,0,0,0,0,0,0,0,0,0,0,6.66,8.58,9.18,9.18,11.16,10.98,10.379999999999999,11.34,12.419999999999998,10.8,11.399999999999999,11.52,0,0,0,0,0,0,0,0,0,0,0,0,8.22,10.5,11.879999999999999,11.82,14.34,12.899999999999999,12.78,13.620000000000001,6.540000000000001,5.4,5.82,10.74,0,0,0,0,0,0,0,0,0,0,0,0,9.600000000000001,11.16,11.7,11.76,13.620000000000001,11.879999999999999,11.82,12.72,13.68,12.24,11.7,11.52,0,0,0,0,0,0,0,0,0,0,0,0,9.42,10.56,9.899999999999999,11.399999999999999,13.02,11.94,12.299999999999999,12.72,13.68,11.22,13.080000000000002,11.64,0,0,0,0,0,0,0,0,0,0,0,0,9.36,11.7,13.620000000000001,13.5,13.02,12.899999999999999,12.48,15.18,16.5,16.68,15.059999999999999,11.52,0,0,0,0,0,0,0,0,0,0,0,0,9.84,11.76,11.58,12.0,12.299999999999999,12.54,13.14,16.32,16.799999999999997,13.86,15.059999999999999,12.899999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.36,8.76,13.200000000000001,13.32,12.24,11.459999999999999,12.600000000000001,13.559999999999999,14.76,13.620000000000001,14.34,12.96,0,0
806465001,0,0,0,0,0,0,0,0,0,0,0.56,1.0,1.16,1.14,1.18,1.1,1.32,1.86,2.32,2.24,1.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.94,1.1,1.08,1.12,1.04,1.24,1.74,2.2,2.12,1.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.9,1.02,1.02,1.06,0.98,1.18,1.64,2.06,2.0,1.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,1.04,1.2,1.18,1.22,1.14,1.36,1.92,2.4,2.32,1.76,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,1.38,1.58,1.56,1.62,1.52,1.8,2.54,3.18,3.06,2.32,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,2.12,2.44,2.42,2.52,2.34,2.8,3.9,4.9,4.74,3.58,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1.9,2.2,2.18,2.26,2.1,2.52,3.52,4.42,4.26,3.22,0.0,0,0
806466028,0,0,0,0,0,0,0,0,0,0,0.56,1.0,1.16,1.14,1.18,1.1,1.32,1.86,2.32,2.24,1.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.94,1.1,1.08,1.12,1.04,1.24,1.74,2.2,2.12,1.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.9,1.02,1.02,1.06,0.98,1.18,1.64,2.06,2.0,1.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,1.04,1.2,1.18,1.22,1.14,1.36,1.92,2.4,2.32,1.76,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,1.38,1.58,1.56,1.62,1.52,1.8,2.54,3.18,3.06,2.32,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,2.12,2.44,2.42,2.52,2.34,2.8,3.9,4.9,4.74,3.58,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1.9,2.2,2.18,2.26,2.1,2.52,3.52,4.42,4.26,3.22,0.0,0,0
806464462,0,0,0,0,0,0,0,0,0,0,0.56,1.0,1.16,1.14,1.18,1.1,1.32,1.86,2.32,2.24,1.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.94,1.1,1.08,1.12,1.04,1.24,1.74,2.2,2.12,1.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.9,1.02,1.02,1.06,0.98,1.18,1.64,2.06,2.0,1.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,1.04,1.2,1.18,1.22,1.14,1.36,1.92,2.4,2.32,1.76,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,1.38,1.58,1.56,1.62,1.52,1.8,2.54,3.18,3.06,2.32,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,2.12,2.44,2.42,2.52,2.34,2.8,3.9,4.9,4.74,3.58,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1.9,2.2,2.18,2.26,2.1,2.52,3.52,4.42,4.26,3.22,0.0,0,0
105297153,0,0,0,0,0,0,0,0,0,0,21.28,21.42,21.42,20.72,17.08,24.36,26.74,31.22,32.48,30.66,21.560000000000002,18.060000000000002,0,0,0,0,0,0,0,0,0,0,0,0,26.32,22.540000000000003,22.540000000000003,25.2,20.3,27.16,30.099999999999998,27.439999999999998,11.479999999999999,11.06,11.479999999999999,24.78,0,0,0,0,0,0,0,0,0,0,0,0,25.62,23.66,25.060000000000002,24.92,24.78,23.8,28.560000000000002,25.48,30.240000000000002,29.96,18.76,22.12,0,0,0,0,0,0,0,0,0,0,0,0,19.459999999999997,22.26,19.040000000000003,17.08,17.08,23.66,22.26,20.439999999999998,34.44,22.540000000000003,19.88,19.599999999999998,0,0,0,0,0,0,0,0,0,0,0,0,20.86,23.099999999999998,23.939999999999998,25.34,21.14,26.459999999999997,29.400000000000002,27.16,30.099999999999998,33.46,26.18,23.52,0,0,0,0,0,0,0,0,0,0,0,0,27.439999999999998,19.74,14.84,17.08,19.74,24.78,12.74,15.819999999999999,22.26,21.42,16.38,20.72,0,0,0,0,0,0,0,0,0,0,0,0,23.8,24.22,25.060000000000002,24.78,21.42,24.22,27.439999999999998,27.3,32.06,31.5,25.34,24.92,0,0
88885721,0,0,0,0,0,0,0,0,0,0,31.36,34.68,35.28,33.32,33.96,30.24,35.84,36.16,40.48,41.16,36.36,33.88,0,0,0,0,0,0,0,0,0,0,0,0,30.4,33.76,32.84,32.52,33.36,28.12,33.04,38.4,17.0,17.0,17.0,33.08,0,0,0,0,0,0,0,0,0,0,0,0,33.92,34.4,34.4,32.56,35.8,31.68,34.44,36.56,40.12,38.68,37.36,31.88,0,0,0,0,0,0,0,0,0,0,0,0,33.68,34.8,35.04,33.84,37.76,31.16,34.56,35.4,39.4,39.64,38.48,34.52,0,0,0,0,0,0,0,0,0,0,0,0,31.92,33.04,34.32,32.68,36.92,35.16,36.52,37.0,37.08,37.4,38.72,33.52,0,0,0,0,0,0,0,0,0,0,0,0,31.6,34.08,37.28,37.0,32.92,29.96,27.84,30.04,30.32,33.28,33.32,29.12,0,0,0,0,0,0,0,0,0,0,0,0,28.28,32.48,34.44,35.56,32.28,30.56,29.24,31.32,31.96,28.76,28.8,27.76,0,0
