screen_id,start_date,end_date,start_time,end_time,mon,tue,wed,thu,fri,sat,sun,demography_type,total,male,females,males_12,males_18,males_25,males_35,males_45,males_55,males_65,females_12,females_18,females_25,females_35,females_45,females_55,females_65
broadsign.com:468498949,2020-01-01,2025-12-31,10:00:00,10:00:59,1,0,0,0,0,0,0,basic,0.74,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,11:00:00,11:00:59,1,0,0,0,0,0,0,basic,1.34,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,12:00:00,12:00:59,1,0,0,0,0,0,0,basic,1.54,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,13:00:00,13:00:59,1,0,0,0,0,0,0,basic,1.52,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,14:00:00,14:00:59,1,0,0,0,0,0,0,basic,1.58,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,15:00:00,15:00:59,1,0,0,0,0,0,0,basic,1.48,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,16:00:00,16:00:59,1,0,0,0,0,0,0,basic,1.76,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,17:00:00,17:00:59,1,0,0,0,0,0,0,basic,2.46,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,18:00:00,18:00:59,1,0,0,0,0,0,0,basic,3.1,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,19:00:00,19:00:59,1,0,0,0,0,0,0,basic,2.98,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,20:00:00,20:00:59,1,0,0,0,0,0,0,basic,2.26,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,21:00:00,21:00:59,1,0,0,0,0,0,0,basic,0.0,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,22:00:00,22:00:59,1,0,0,0,0,0,0,basic,0.0,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,10:00:00,10:00:59,0,1,0,0,0,0,0,basic,0.7,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,11:00:00,11:00:59,0,1,0,0,0,0,0,basic,1.26,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,12:00:00,12:00:59,0,1,0,0,0,0,0,basic,1.46,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,13:00:00,13:00:59,0,1,0,0,0,0,0,basic,1.44,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,14:00:00,14:00:59,0,1,0,0,0,0,0,basic,1.5,,,,,,,,,,,,,,,,
broadsign.com:468498949,2020-01-01,2025-12-31,15:00:00,15:00:59,0,1,0,0,0,0,0,basic,1.4,,,,,,,,,,,,,,,,
