uuid,id,name,day,weekday,visits
f066cf28-e91c-4ce3-a0e9-e87370fd0445,11,Castellana 200,20230114,saturday,1354.0
f066cf28-e91c-4ce3-a0e9-e87370fd0445,11,Castellana 200,20230115,sunday,1204.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230109,monday,1315.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230110,tuesday,1555.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230111,wednesday,1394.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230112,thursday,1294.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230113,friday,1494.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230114,saturday,1496.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230115,sunday,1060.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230109,monday,9429.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230110,tuesday,9112.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230111,wednesday,8598.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230112,thursday,8044.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230113,friday,8211.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230114,saturday,10196.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230115,sunday,0.0
