uuid,id,name,day,weekday,visits
091b8fd0-a5b1-4c59-acb2-40759e131801,3,Albacenter,20230130,monday,4748.0
091b8fd0-a5b1-4c59-acb2-40759e131801,3,Albacenter,20230131,tuesday,4858.0
69dda3aa-efa6-4149-9481-3e1260141dc2,5,Alegra - Parque Comercial y de Ocio,20230130,monday,2764.0
69dda3aa-efa6-4149-9481-3e1260141dc2,5,Alegra - Parque Comercial y de Ocio,20230131,tuesday,2875.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7,6,Almazara Plaza,20230130,monday,4490.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7,6,Almazara Plaza,20230131,tuesday,4613.0
d04597e6-51fd-457d-a302-12e381a71361,7,Ànecblau,20230130,monday,8233.0
d04597e6-51fd-457d-a302-12e381a71361,7,Ànecblau,20230131,tuesday,8837.0
c52d5f56-1f93-40dd-a167-d60d9a103807,55,Área Sur,20230130,monday,10531.0
c52d5f56-1f93-40dd-a167-d60d9a103807,55,Área Sur,20230131,tuesday,10537.0
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3,9,Arena Multiespacio,20230130,monday,7316.0
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3,9,Arena Multiespacio,20230131,tuesday,7576.0
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16,10,As Termas,20230130,monday,13414.0
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16,10,As Termas,20230131,tuesday,13303.0
f066cf28-e91c-4ce3-a0e9-e87370fd0445,11,Castellana 200,20230130,monday,1375.0
f066cf28-e91c-4ce3-a0e9-e87370fd0445,11,Castellana 200,20230131,tuesday,1590.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230130,monday,1348.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230131,tuesday,1754.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230130,monday,7272.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230131,tuesday,7450.0
