uuid,id,name,day,weekday,visits
f066cf28-e91c-4ce3-a0e9-e87370fd0445,11,Castellana 200,20230128,saturday,1343.0
f066cf28-e91c-4ce3-a0e9-e87370fd0445,11,Castellana 200,20230129,sunday,1393.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230123,monday,1389.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230124,tuesday,1521.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230125,wednesday,1506.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230126,thursday,1552.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230127,friday,1665.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230128,saturday,1657.0
135cd769-31c8-4240-a5af-adf6a132aaec,13,Conquistadores,20230129,sunday,961.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230123,monday,6900.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230124,tuesday,7175.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230125,wednesday,7296.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230126,thursday,10835.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230127,friday,8143.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230128,saturday,9289.0
0c2639f4-bec1-428e-abad-c95a3a78de58,50,Coruña The Style Outlets,20230129,sunday,0.0
