player_id,player_screens,codigo_soporte,screen_resolution,geolocation,latitude,longitude,address,zipcode,container_name,country,mall_name,tipo_soporte,tipo_emission,ubicacion,ID_digital,cp
421213330,2,TRACE-421213330, 1080x1920,"(-3.900056,40.492245)",40.492245,-3.900056,Calle de los Químicos,28222,GRAN PLAZA 2,SPAIN,Gran Plaza 2,MUPI,DIGITAL,INDOOR,421213330,28222
444158993,1,TRACE-444158993, 1080x1920,"(-4.476779,36.657055)",36.657055,-4.476779,Calle Alfonso Ponce de León,29140,PLAZA MAYOR,SPAIN,Plaza Mayor,MUPI,DIGITAL,INDOOR,444158993,29140
531011953,1,TRACE-531011953, 1080x1920,"(-3.608608,40.56776)",40.56776,-3.608608,Calle Salvador de Madariaga,28702,TSO SSRR,SPAIN,TSO SSRR,MUPI,DIGITAL,INDOOR,531011953,28702
349641896,13,TRACE-349641896, 720x1280,"(-6.212418,36.616428)",36.616428,-6.212418,Ctra. N - IV Km 653,11500,EL PASEO,SPAIN,El Paseo,MUPI,DIGITAL,INDOOR,349641896,11500
255546465,6,TRACE-255546465, 1080x1920,"(-3.666047,40.486299)",40.486299,-3.666047,"Av. de Manoteras, 40, 28050 Madrid",28050,MANOTERAS,SPAIN,Manoteras,MUPI,DIGITAL,INDOOR,255546465,28050
160062257,6,TRACE-160062257, 1080x1920,"(-3.688903,40.462906)",40.462906,-3.688903,Paseo de la Castellana,28046,CASTELLANA 200,SPAIN,Castellana 200,MUPI,DIGITAL,INDOOR,160062257,28046
199398459,10,TRACE-199398459, 1080x1920,"(-5.803367,37.202737)",37.202737,-5.803367,Calle de Mayorales,41710,ALMAZARA,SPAIN,Almazara,MUPI,DIGITAL,INDOOR,199398459,41710
443946109,4,TRACE-443946109, 1080x1920,"(-3.615327,40.540638)",40.540638,-3.615327,Plaza del Comercio,28703,PLAZA NORTE 2,SPAIN,Plaza Norte 2,MUPI,DIGITAL,INDOOR,443946109,28703
343745641,1,TRACE-343745641, 1152x1280,"(2.12971,41.359079)",41.359079,2.12971,"Avinguda de la Granvia de l’Hospitalet, 75",08980,LEDS GRANVIA2,SPAIN,LEDS Gran Via 2,MUPI,DIGITAL,INDOOR,343745641,08980
221084182,9,TRACE-221084182, 768x1024,"(-8.410153,43.336319)",43.336319,-8.410153,Rua Jose Pascual López- Cortón,15008,ESPACIO CORUÑA,SPAIN,Espacio Coruña,MUPI,DIGITAL,INDOOR,221084182,15008
