mall_name;period;start_date;end_date;mall_visits;country;mall_id
Arcangel;MONTHLY;2021-01-01;2021-01-31;325.000;SPAIN;95
Arcangel;MONTHLY;2021-02-01;2021-02-28;221.964;SPAIN;95
Arcangel;MONTHLY;2021-03-01;2021-03-31;354.000;SPAIN;95
Arcangel;MONTHLY;2021-04-01;2021-04-30;351.000;SPAIN;95
Arcangel;MONTHLY;2021-05-01;2021-05-31;435.000;SPAIN;95
Arcangel;MONTHLY;2021-06-01;2021-06-30;375.000;SPAIN;95
Arcangel;MONTHLY;2021-07-01;2021-07-31;365.000;SPAIN;95
Arcangel;MONTHLY;2021-08-01;2021-08-31;349.000;SPAIN;95
Arcangel;MONTHLY;2021-09-01;2021-09-30;396.000;SPAIN;95
Arcangel;MONTHLY;2021-10-01;2021-10-31;412.000;SPAIN;95
Arcangel;MONTHLY;2021-11-01;2021-11-30;430.000;SPAIN;95
Arcangel;MONTHLY;2021-12-01;2021-12-31;476.000;SPAIN;95
Arcangel;MONTHLY;2022-01-01;2022-01-31;402.000;SPAIN;95
Arcangel;MONTHLY;2022-02-01;2022-02-28;300.000;SPAIN;95
Arcangel;MONTHLY;2022-03-01;2022-03-31;329.000;SPAIN;95
