uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;17.46;4.36;9.57;31.19;18.57;18.86
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;13.37;0.79;12.76;35.42;20.25;17.41
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;11.53;0.69;12.29;41.03;16.42;18.02
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;8.57;1.05;13.76;44.48;18.56;13.58
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;16.17;1.49;11.93;32.3;17.2;20.92
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;13.65;0.95;12.22;42.13;14.89;16.16
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;17.93;0.41;11.03;34.58;18.14;17.91
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;18.32;0.89;9.79;31.32;21.81;17.87
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;16.8;7.16;6.55;32.71;20.83;15.96
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;14.62;1.69;9.89;34.02;24.55;15.24
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;10.47;1.07;10.74;32.37;25.52;19.83
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;9.24;0.56;10.17;39.88;17.49;22.66
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;13.04;0.24;10.35;37.72;18.03;20.62
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;11.84;0.36;9.98;28.77;26.4;22.66
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;15.48;0.91;7.51;36.35;21.06;18.69
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;13.12;0.9;11.34;41.39;19.91;13.34
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;19.64;2.76;12.08;34.25;15.51;15.76
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;20.2;1.14;11.84;33.72;14.4;18.69
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;9.98;1.36;5.87;32.33;20.09;30.37
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;19.47;9.62;4.47;28.95;22.8;14.69
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;11.49;1.97;11.47;37.07;21.17;16.83
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;16.44;1.02;10.86;34.21;16.98;20.49
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;13.9;0.83;12.42;37.52;20.5;14.83
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;12.86;1.51;13.72;41.07;17.45;13.4
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;19.11;1.86;11.81;33.94;18.29;14.98
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;16.05;0.6;10.0;33.71;21.7;17.94
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;3.64;0.64;11.22;51.58;15.76;17.16
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;11.79;1.54;13.62;40.97;17.61;14.48
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;12.13;1.55;9.98;39.6;20.62;16.11
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;10.18;1.36;13.52;42.36;18.69;13.88
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;9.35;0.16;9.18;41.52;20.7;19.09
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;17.92;0.37;9.86;32.46;22.19;17.21
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;17.96;0.74;10.64;31.46;21.71;17.49
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;16.09;0.57;10.39;35.17;14.68;23.1
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;19.71;2.07;11.08;35.29;14.91;16.94
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;11.44;1.48;13.71;41.89;17.42;14.06
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;17.78;0.79;10.04;36.17;20.66;14.56
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;16.88;0.4;11.73;37.56;21.23;12.2
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;10.7;1.63;13.63;41.73;18.94;13.37
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;13.96;2.36;12.63;38.1;19.17;13.77
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;17.23;0.81;14.32;38.71;16.03;12.9
41df8bd7-9605-4805-a088-1728179af2e3;Ferial Plaza - Centro Comercial y de Ocio;140;12.39;1.83;13.32;35.6;22.05;14.81
