uuid;name;id;p_income_0;p_income_1;p_income_2;p_income_3
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;39.54;59.67;0.64;0.16
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;64.83;21.2;11.23;2.74
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;94.65;5.1;0.19;0.06
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;72.85;24.1;2.96;0.08
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;81.37;18.34;0.2;0.09
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;28.68;44.96;9.38;16.99
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;63.91;35.73;0.31;0.05
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;32.88;63.5;2.3;1.32
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;84.21;15.03;0.58;0.18
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;77.74;21.05;0.92;0.29
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;26.99;27.19;18.25;27.56
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;47.87;50.84;0.92;0.38
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;88.36;11.18;0.37;0.09
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;34.86;63.54;1.16;0.43
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;54.07;45.38;0.44;0.12
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;29.95;64.28;3.21;2.55
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;63.98;35.69;0.23;0.09
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;39.59;45.79;7.52;7.1
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;68.07;27.78;3.02;1.13
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;24.69;41.5;32.84;0.96
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;24.06;53.53;19.74;2.66
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;54.6;45.12;0.17;0.11
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;69.4;30.21;0.28;0.1
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;19.19;43.81;22.23;14.77
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;36.41;57.5;4.57;1.51
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;29.0;38.54;30.97;1.49
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;90.75;9.0;0.2;0.06
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;62.16;34.41;2.5;0.93
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;85.99;10.26;2.96;0.79
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;22.4;39.27;6.44;31.89
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;15.94;79.4;0.64;4.02
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;30.76;46.41;12.44;10.39
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;67.89;28.24;2.85;1.03
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;73.25;22.74;2.83;1.18
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;70.75;27.34;1.53;0.37
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;87.61;11.66;0.57;0.15
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;33.77;32.92;23.12;10.19
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;44.32;26.74;24.11;4.83
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;59.77;34.27;4.58;1.38
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;82.52;12.07;4.62;0.79
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;86.98;11.63;1.19;0.2
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;59.91;25.58;11.3;3.21
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;64.29;32.27;3.19;0.26
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;10.8;71.24;0.86;17.1
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;39.85;39.35;13.89;6.92
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;88.85;10.83;0.23;0.09
