uuid;name;id;low;medium_low;medium;medium_high;high
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;0.09;0.53;21.66;31.59;46.13
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;0.6;3.39;41.18;53.7;1.13
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;1.72;14.54;77.49;4.46;1.8
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;0.08;2.26;64.93;15.71;17.03
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;2.26;51.95;41.34;2.81;1.63
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;0.04;0.39;51.58;14.25;33.75
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;31.57;0.94;46.42;17.62;3.45
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;0.03;0.28;84.46;1.72;13.51
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;0.31;3.29;24.81;37.59;34.0
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;3.01;33.41;45.07;15.16;3.34
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;0.2;6.21;47.86;35.83;9.9
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;0.82;59.81;26.04;3.02;10.31
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;0.01;0.2;37.67;48.6;13.52
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;0.06;0.31;81.91;15.21;2.52
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;21;0.25;3.77;70.27;15.33;10.37
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;23;0.07;3.65;77.95;9.2;9.14
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;0.05;0.43;76.78;15.25;7.49
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;0.12;2.65;28.46;20.44;48.34
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;0.09;0.71;29.05;42.3;27.85
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;0.03;0.6;40.09;51.02;8.26
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;0.21;1.18;70.47;22.24;5.91
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;0.1;62.85;23.67;7.56;5.82
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;0.17;3.3;22.45;32.43;41.64
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;0.07;3.65;77.95;9.2;9.14
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;0.55;13.17;75.49;3.2;7.58
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;0.09;2.39;44.02;20.42;33.08
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;0.09;4.97;56.04;29.26;9.64
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;0.87;7.04;83.52;6.11;2.46
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;0.14;2.36;89.83;5.19;2.48
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;0.24;6.17;72.39;14.5;6.7
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;0.21;2.94;33.95;23.14;39.76
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;0.08;2.58;58.66;19.38;19.29
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;0.04;0.18;32.61;57.51;9.65
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;0.01;0.42;79.61;15.97;3.99
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;3.41;45.0;41.5;3.77;6.32
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;0.15;3.52;86.86;6.82;2.66
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;0.08;0.56;44.95;32.09;22.33
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;0.22;5.97;73.05;14.36;6.4
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;0.04;18.64;72.52;8.02;0.78
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;0.06;4.35;62.26;29.17;4.16
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;0.09;2.37;22.04;18.83;56.67
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;0.11;3.4;32.87;24.26;39.36
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;0.25;3.77;70.27;15.33;10.37
41df8bd7-9605-4805-a088-1728179af2e3;Ferial Plaza - Centro Comercial y de Ocio;140;0.24;1.96;45.79;49.35;2.66
