uuid;name;id;p_income_0;p_income_1;p_income_2;p_income_3
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;38.76;60.59;0.54;0.12
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;62.78;22.12;11.76;3.33
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;94.99;4.79;0.15;0.06
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;72.39;24.51;3.02;0.07
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;80.91;18.7;0.27;0.12
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;25.76;45.93;9.67;18.64
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;62.34;37.34;0.28;0.04
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;33.69;62.99;2.0;1.32
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;85.55;14.03;0.34;0.07
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;80.19;18.58;0.98;0.26
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;24.38;25.11;19.83;30.67
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;49.99;48.98;0.78;0.24
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;91.19;8.56;0.19;0.06
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;29.89;68.57;1.23;0.31
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;52.25;47.37;0.31;0.06
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;27.84;65.73;3.59;2.84
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;64.32;35.39;0.23;0.06
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;40.11;45.34;7.53;7.03
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;67.17;28.32;3.36;1.14
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;23.45;42.52;32.93;1.1
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;23.45;52.9;20.99;2.66
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;55.56;44.1;0.22;0.12
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;69.46;30.21;0.24;0.09
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;18.05;43.67;22.81;15.47
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;40.0;53.85;4.54;1.61
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;26.8;39.4;31.81;1.98
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;91.37;8.4;0.18;0.05
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;62.19;34.41;2.57;0.83
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;86.25;10.04;2.98;0.73
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;19.33;38.06;6.52;36.09
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;16.57;79.16;0.54;3.73
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;26.49;48.19;12.81;12.51
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;71.68;24.27;2.9;1.16
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;70.37;27.82;1.44;0.37
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;87.71;11.68;0.51;0.11
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;33.2;34.03;20.83;11.94
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;42.12;27.84;24.3;5.74
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;58.74;35.07;4.8;1.39
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;82.39;12.0;4.78;0.83
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;87.33;11.31;1.26;0.09
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;57.2;26.92;12.02;3.86
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;65.51;31.14;3.19;0.16
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;9.63;72.17;0.72;17.47
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;37.73;40.64;14.88;6.75
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;89.91;9.86;0.19;0.04
