uuid;name;id;low;medium_low;medium;medium_high;high
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;0.5;3.27;39.01;55.98;1.24
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;0.12;2.48;65.02;15.46;16.91
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;2.67;52.78;40.31;2.84;1.4
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;33.89;0.97;44.68;17.12;3.34
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;0.0;0.11;86.4;1.55;11.94
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;3.55;34.43;44.27;14.06;3.68
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;0.01;0.13;30.87;60.71;8.29
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;15.37;6.32;73.41;3.53;1.37
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;0.12;2.47;89.44;6.06;1.9
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;0.07;2.36;22.22;17.71;57.64
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;0.22;5.8;45.59;38.96;9.42
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;0.81;62.21;24.96;2.51;9.51
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;0.2;2.32;89.95;4.85;2.68
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;0.01;0.19;38.15;48.26;13.4
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;0.01;0.2;83.94;13.24;2.6
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;0.03;0.52;44.22;32.3;22.93
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;0.3;6.29;71.43;14.91;7.07
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;0.13;2.42;28.76;20.16;48.54
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;0.05;0.77;28.42;44.89;25.88
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;0.04;0.4;77.62;14.81;7.13
6c9ff953-775e-48da-9a30-9ade460d74e4;Jaén Plaza;62;0.62;13.01;45.14;41.22;0.0
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;0.04;0.49;21.42;31.52;46.53
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;0.03;0.62;38.18;53.32;7.84
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;0.05;18.83;72.07;8.23;0.83
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;0.2;2.86;33.29;22.54;41.11
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;1.57;12.69;80.08;4.14;1.52
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;0.07;1.58;67.44;24.27;6.64
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;0.04;64.48;23.13;7.07;5.28
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;0.14;2.95;22.77;33.34;40.81
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;0.01;0.25;27.73;63.7;8.32
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;0.26;5.88;72.58;14.82;6.46
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;0.18;4.29;69.46;14.47;11.6
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;0.04;4.17;63.77;28.15;3.87
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;0.64;12.45;75.97;3.33;7.61
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;0.09;3.14;33.0;23.67;40.11
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;0.13;2.23;44.82;19.28;33.55
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;0.12;4.79;57.13;28.67;9.29
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;0.05;3.61;78.89;8.5;8.95
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;0.91;7.16;83.9;5.8;2.23
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;0.09;2.66;59.9;18.43;18.93
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;0.01;0.58;77.34;18.01;4.07
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;0.07;0.41;18.43;61.06;20.04
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;0.06;0.39;52.03;14.57;32.96
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;3.05;48.46;39.99;2.67;5.83
