uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;11.59;1.5;13.72;34.51;21.16;17.51
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;7.42;1.13;16.51;43.6;18.0;13.34
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;15.93;1.91;11.88;28.82;19.18;22.27
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;18.38;0.57;12.7;33.29;18.66;16.4
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;19.1;0.8;11.51;28.71;21.94;17.95
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;14.32;1.78;11.63;31.6;25.03;15.64
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;8.86;0.28;11.46;40.88;20.17;18.35
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;13.95;0.81;12.0;29.87;23.59;19.8
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;17.83;0.52;10.96;33.7;13.55;23.46
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;10.54;1.62;17.43;42.8;15.81;11.8
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;10.91;1.55;13.5;27.62;27.39;19.04
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;6.62;0.81;11.75;37.47;18.27;25.09
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;3.32;0.65;12.79;51.27;16.71;15.27
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;10.87;0.52;12.7;37.12;20.77;18.02
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;11.08;0.38;11.56;27.29;27.76;21.91
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;18.62;2.35;12.5;35.43;15.44;15.67
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;10.28;1.61;15.34;39.95;18.65;14.18
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;12.29;1.17;15.27;42.0;18.02;11.25
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;17.68;2.8;14.47;35.35;14.77;14.93
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;13.19;0.98;8.94;34.86;21.74;20.29
6c9ff953-775e-48da-9a30-9ade460d74e4;Jaén Plaza;62;14.39;1.37;10.01;27.93;21.06;25.23
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;16.79;4.66;10.49;32.46;18.9;16.69
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;19.46;1.18;12.56;33.06;14.47;19.26
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;14.47;1.15;12.79;35.21;21.47;14.9
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;10.35;1.65;12.38;40.0;21.09;14.53
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;10.26;0.78;14.13;38.91;17.83;18.1
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;9.54;1.33;8.75;25.05;22.74;32.59
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;18.25;9.51;4.87;28.73;23.02;15.62
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;9.7;2.6;13.59;35.6;21.26;17.25
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;9.68;0.67;11.02;27.88;29.04;21.71
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;9.76;1.53;15.85;40.7;18.41;13.75
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;17.24;1.05;14.35;37.74;17.11;12.51
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;15.88;0.41;13.44;36.74;21.93;11.6
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;12.59;1.11;15.34;37.53;20.09;13.34
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;14.28;2.51;14.26;38.74;17.34;12.88
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;12.33;1.7;16.2;40.07;17.49;12.21
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;17.58;2.1;14.59;32.5;17.8;15.43
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;15.8;1.11;12.43;32.07;17.33;21.27
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;14.14;0.66;12.61;33.05;23.08;16.47
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;8.3;1.46;15.9;41.92;18.82;13.61
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;17.15;0.36;11.17;32.63;23.91;14.79
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;12.95;0.42;11.55;22.99;31.94;20.14
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;12.37;0.88;14.86;41.32;15.68;14.9
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;13.61;0.82;12.94;29.17;22.47;20.99
