emotion,gender,age,isView,isImpression,dwellTime,mask,sessionTime,zoneId,direction,deviceId,timestamp,deviceName,attentionTime
NEUTRAL,FEMALE,26.653333333333332,28,75,1.2650790182164029,0,4.0656059455871585,,,df8852d1f3dad,2023-09-05 00:00:00,UPN Comas,1.2650790182164029
,,0,26,13254,1.00733708333638,4,9.6787973558129661,,,dc202c46a4fa8,2023-09-05 00:00:00,UPN los olivos,1.00733708333638
DISGUST,MALE,26.75,4,16,1.0118326221903164,0,4.3350073955953121,,,df8852d1f3dad,2023-09-05 00:00:00,UPN Comas,1.0118326221903164
,,0,0,616,0,,9.3408036760792346,,,df8852d1f3dad,2023-09-06 00:00:00,UPN Comas,0
SURPRISED,FEMALE,28.5,0,2,0,0,3.49461829662323,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,0
DISGUST,FEMALE,24,0,1,0,0,40.800724029541016,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,0
HAPPY,FEMALE,28.75,4,4,4.67252704501152,0,7.6048964858055115,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,4.67252704501152
FEAR,FEMALE,25.5,1,4,0.76042503118515015,0,3.6168755292892456,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,0.76042503118515015
SAD,FEMALE,24.52941176470588,15,17,2.0371698180834454,0,6.7766224075766175,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,2.0371698180834454
ANGRY,MALE,27,3,7,0.71452785815511421,0,4.6708500385284424,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,0.71452785815511421
HAPPY,MALE,27,1,2,2.4323122501373291,0,2.8725978136062622,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,2.4323122501373291
SAD,MALE,23.181818181818183,5,11,1.5426898023911886,0,5.9474219300530171,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,1.5426898023911886
SURPRISED,MALE,24,1,1,1.3619863986968994,0,5.68841028213501,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,1.3619863986968994
DISGUST,MALE,27,1,3,4.0982675552368164,0,7.7234399716059361,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,4.0982675552368164
,,0,31,22958,0.81164913924442517,6,11.946292610463352,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,0.81164913924442517
FEAR,MALE,18.5,0,2,0,0,5.0803000926971436,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,0
NEUTRAL,FEMALE,32.166666666666664,5,6,1.4102521300315858,0,4.5355299115180969,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,1.4102521300315858
NEUTRAL,MALE,26.235294117647058,9,17,1.7640834955068736,0,5.8889950022977935,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,1.7640834955068736
ANGRY,FEMALE,26.333333333333332,2,6,0.66331440210342407,0,2.0856475234031677,,,dc202c46a4fa8,2023-09-06 00:00:00,UPN los olivos,0.66331440210342407
NEUTRAL,MALE,27,2,5,1.0962389117727676,0,3.7289441585540772,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,1.0962389117727676
SURPRISED,MALE,27,2,2,1.1079663336277008,0,3.603693962097168,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,1.1079663336277008
HAPPY,FEMALE,21.363636363636367,4,11,1.3930986842938833,0,6.7309875921769571,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,1.3930986842938833
,,0,0,2446,0,,8.1748998676436635,,,df8852d1f3dad,2023-09-07 00:00:00,UPN Comas,0
ANGRY,FEMALE,23.5,2,2,2.3377841114997864,0,5.1949634552001953,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,2.3377841114997864
FEAR,MALE,25.833333333333332,3,6,1.2256294700006645,0,2.6120916604995728,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,1.2256294700006645
ANGRY,MALE,24.444444444444446,5,9,2.0629901864698956,0,6.547526770167881,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,2.0629901864698956
NEUTRAL,FEMALE,24.666666666666668,6,6,2.4487320582071939,0,5.6349304517110195,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,2.4487320582071939
,,0,32,29330,1.197644694907857,3,12.718327836512232,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,1.197644694907857
SAD,MALE,25.153846153846153,5,13,1.4835117571055889,0,6.6757506865721474,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,1.4835117571055889
SAD,FEMALE,24.761904761904763,7,21,1.5466632106556342,0,16.477648045335496,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,1.5466632106556342
FEAR,FEMALE,27,0,1,0,0,0.84877526760101318,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,0
DISGUST,MALE,27,2,2,1.2520962059497833,0,6.9182896614074707,,,dc202c46a4fa8,2023-09-07 00:00:00,UPN los olivos,1.2520962059497833
HAPPY,FEMALE,25.25,4,4,1.9785563498735428,0,4.6682845950126648,,,dc202c46a4fa8,2023-09-08 00:00:00,UPN los olivos,1.9785563498735428
DISGUST,FEMALE,29,0,2,0,0,7.4746191501617432,,,dc202c46a4fa8,2023-09-08 00:00:00,UPN los olivos,0
FEAR,MALE,21.333333333333332,2,3,1.1781670053799946,0,3.7528488636016846,,,dc202c46a4fa8,2023-09-08 00:00:00,UPN los olivos,1.1781670053799946
,,0,0,1281,0,,10.523604026722959,,,df8852d1f3dad,2023-09-08 00:00:00,UPN Comas,0
NEUTRAL,MALE,29.333333333333336,6,6,1.9104900260766344,0,8.54068797826767,,,dc202c46a4fa8,2023-09-08 00:00:00,UPN los olivos,1.9104900260766344
