timestamp,deviceName,deviceId,emotion,gender,zoneId,direction,isImpression,age,dwellTime,attentionTime,sessionTime,isView,mask
2023-08-01 00:00:00,SantaAnita,d532f011a8a2a,DISGUST,MALE,,,13,27.46153846153846,0.72847889280981493,0.72847889280981493,3.9741875208341155,5,0
2023-08-01 00:00:00,La Molina,d2acaa080a65a,NEUTRAL,MALE,,,120,30.275000000000002,1.3192785949088062,1.3192785949088062,6.8344803507129335,35,0
2023-08-01 00:00:00,Jockey Plaza - Crisol,d8f79a3a9f3f6,SURPRISED,MALE,,,8,21,1.5488600986344474,1.5488600986344474,5.8630499243736267,5,0
2023-08-01 00:00:00,Jockey Plaza - Crisol,d8f79a3a9f3f6,,,,,31651,0,0.51496434747946984,0.51496434747946984,5.3864654346072944,95,3
2023-08-01 00:00:00,SantaAnita,d532f011a8a2a,SAD,FEMALE,,,468,23.442307692307693,2.7455521876378293,2.7455521876378293,5.7126616928567255,305,0
2023-08-01 00:00:00,SantaAnita,d532f011a8a2a,HAPPY,FEMALE,,,83,22.614457831325304,2.2090730881446032,2.2090730881446032,4.5131375502391027,55,0
2023-08-01 00:00:00,La Molina,d2acaa080a65a,SAD,FEMALE,,,378,24.203703703703706,1.3769741772050903,1.3769741772050903,3.3181616879960223,168,0
2023-08-01 00:00:00,La Molina,d2acaa080a65a,HAPPY,MALE,,,55,26.345454545454544,0.70173389033267353,0.70173389033267353,2.9612075047059494,14,0
2023-08-01 00:00:00,Jockey Plaza - SAGA,d859011ad78c9,SURPRISED,MALE,,,14,27.142857142857142,2.6648087021377354,2.6648087021377354,7.5007351977484564,6,0
2023-08-01 00:00:00,La Molina,d2acaa080a65a,DISGUST,FEMALE,,,6,27,0.036887548863887787,0.036887548863887787,1.4382850825786591,0,0
2023-08-01 00:00:00,SantaAnita,d532f011a8a2a,DISGUST,FEMALE,,,9,23.222222222222221,3.4959852858446538,3.4959852858446538,7.6010907226138631,6,0
2023-08-01 00:00:00,Jockey Plaza - Crisol,d8f79a3a9f3f6,SURPRISED,FEMALE,,,8,20.25,1.731720756739378,1.731720756739378,6.4030295014381409,4,0
2023-08-01 00:00:00,La Molina,d2acaa080a65a,HAPPY,FEMALE,,,33,24.727272727272723,0.47975076313899911,0.47975076313899911,2.178303928086252,8,0
2023-08-01 00:00:00,SantaAnita,d532f011a8a2a,NEUTRAL,FEMALE,,,151,21.960264900662253,2.5544573176089385,2.5544573176089385,6.7296558531704322,119,0
2023-08-01 00:00:00,SantaAnita,d532f011a8a2a,ANGRY,FEMALE,,,81,25.575,2.6186089462134987,2.6186089462134987,6.5906370399910728,51,0
