uuid;name;id;low;medium_low;medium;medium_high;high
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;0.39;3.75;41.81;52.63;1.42
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;0.12;2.7;63.51;15.78;17.89
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;2.19;53.29;40.51;2.73;1.28
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;31.22;0.99;44.94;19.07;3.78
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;0.12;0.21;82.8;2.59;14.28
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;0.16;3.75;25.64;37.82;32.64
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;3.78;33.67;42.62;16.37;3.57
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;0.01;0.41;37.51;53.6;8.48
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;13.2;6.7;74.82;4.12;1.16
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;0.29;4.87;82.13;8.96;3.75
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;0.08;2.78;23.52;16.57;57.05
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;0.35;6.67;48.54;34.14;10.29
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;0.99;62.6;25.25;3.5;7.66
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;0.21;2.83;89.37;5.18;2.42
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;0.03;0.53;58.12;39.55;1.76
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;0.02;0.26;36.45;51.6;11.66
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;0.01;0.24;80.7;15.65;3.4
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;0.05;0.5;46.38;31.01;22.07
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;0.27;6.55;71.05;15.39;6.74
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;0.1;2.89;30.37;20.87;45.76
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;0.05;0.58;27.66;43.87;27.83
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;0.03;0.29;62.07;26.59;11.01
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;0.05;0.34;75.79;16.2;7.63
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;0.04;0.54;22.84;31.49;45.09
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;0.03;0.43;40.04;50.72;8.79
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;0.04;17.55;73.91;7.6;0.9
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;0.14;3.53;36.08;21.6;38.65
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;1.62;14.24;79.19;3.6;1.35
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;0.1;1.68;66.48;22.77;8.96
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;0.06;61.39;26.03;7.44;5.08
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;0.12;3.04;21.13;31.7;44.01
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;0.03;0.23;33.42;58.59;7.74
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;0.23;6.15;72.54;14.84;6.24
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;0.08;4.1;74.31;13.15;8.37
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;0.07;4.88;68.31;23.53;3.21
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;0.59;13.01;74.04;4.01;8.36
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;0.1;3.55;32.87;24.33;39.14
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;0.08;2.66;44.46;18.57;34.23
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;0.14;5.58;56.5;28.59;9.19
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;0.08;3.87;80.23;8.09;7.73
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;1.12;6.27;80.13;8.48;3.99
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;0.11;3.14;58.72;18.87;19.15
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;0.06;0.42;75.47;19.33;4.72
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;0.05;0.32;20.96;58.23;20.44
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;0.07;0.48;51.79;16.9;30.75
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;2.61;42.37;44.82;3.43;6.77
