uuid;name;id;low;medium_low;medium;medium_high;high
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;0.55;3.5;39.59;55.41;0.96
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;0.1;2.52;65.18;15.62;16.57
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;2.34;53.13;40.52;2.95;1.06
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;33.85;0.85;45.07;16.91;3.33
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;0.0;0.11;85.78;1.56;12.56
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;3.37;33.58;44.89;14.7;3.46
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;0.02;0.11;33.5;58.01;8.37
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;15.91;7.56;71.76;3.46;1.3
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;0.1;2.64;89.81;5.56;1.89
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;0.05;2.38;22.3;18.64;56.64
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;0.23;6.14;47.04;37.35;9.23
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;0.72;62.8;24.44;2.49;9.55
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;0.12;2.24;90.56;4.66;2.42
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;0.0;0.18;38.46;47.73;13.63
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;0.0;0.22;84.02;13.38;2.36
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;0.03;0.57;44.45;32.28;22.67
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;0.23;6.48;72.21;14.32;6.76
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;0.13;2.42;27.92;20.3;49.23
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;0.06;0.75;28.68;43.94;26.57
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;0.02;0.36;76.61;14.81;8.2
6c9ff953-775e-48da-9a30-9ade460d74e4;Jaén Plaza;62;0.56;13.7;45.01;40.71;0.02
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;0.04;0.56;21.65;31.46;46.29
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;0.02;0.66;39.22;52.38;7.72
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;0.04;18.6;72.6;7.95;0.82
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;0.18;2.88;33.37;22.59;40.97
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;1.53;13.2;79.81;4.0;1.47
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;0.14;1.47;69.71;22.8;5.89
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;0.03;63.99;23.42;7.34;5.23
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;0.14;3.17;23.51;33.76;39.43
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;0.01;0.23;26.75;64.82;8.19
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;0.21;6.21;73.08;14.27;6.24
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;0.18;4.68;69.2;14.43;11.52
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;0.04;4.26;62.85;28.95;3.9
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;0.81;12.84;75.94;3.41;6.99
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;0.12;3.23;32.72;23.97;39.97
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;0.09;2.31;44.24;19.16;34.21
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;0.09;4.9;57.09;28.57;9.35
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;0.06;3.77;78.18;8.94;9.05
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;0.76;7.21;84.87;5.31;1.85
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;0.11;2.75;60.0;18.47;18.67
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;0.06;0.44;78.68;16.91;3.92
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;0.07;0.45;18.59;61.02;19.87
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;0.06;0.47;51.56;14.37;33.54
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;3.55;46.61;40.8;3.35;5.68
