visits,country,start_date,end_date,period,mall_name,mall_id,hivestack_site_id
998.0,SPAIN,2023-01-23 10:00:00,2023-01-23 11:00:00,HOUR,Albacenter,3,147095950
1183.0,SPAIN,2023-01-23 11:00:00,2023-01-23 12:00:00,HOUR,Albacenter,3,147095950
1333.0,SPAIN,2023-01-23 12:00:00,2023-01-23 13:00:00,HOUR,Albacenter,3,147095950
1267.0,SPAIN,2023-01-23 13:00:00,2023-01-23 14:00:00,HOUR,Albacenter,3,147095950
1261.0,SPAIN,2023-01-23 14:00:00,2023-01-23 15:00:00,HOUR,Albacenter,3,147095950
1412.0,SPAIN,2023-01-23 15:00:00,2023-01-23 16:00:00,HOUR,Albacenter,3,147095950
1291.0,SPAIN,2023-01-23 16:00:00,2023-01-23 17:00:00,HOUR,Albacenter,3,147095950
1425.0,SPAIN,2023-01-23 17:00:00,2023-01-23 18:00:00,HOUR,Albacenter,3,147095950
1446.0,SPAIN,2023-01-23 18:00:00,2023-01-23 19:00:00,HOUR,Albacenter,3,147095950
1491.0,SPAIN,2023-01-23 19:00:00,2023-01-23 20:00:00,HOUR,Albacenter,3,147095950
1482.0,SPAIN,2023-01-23 20:00:00,2023-01-23 21:00:00,HOUR,Albacenter,3,147095950
1236.0,SPAIN,2023-01-23 21:00:00,2023-01-23 22:00:00,HOUR,Albacenter,3,147095950
1045.0,SPAIN,2023-01-24 10:00:00,2023-01-24 11:00:00,HOUR,Albacenter,3,147095950
1184.0,SPAIN,2023-01-24 11:00:00,2023-01-24 12:00:00,HOUR,Albacenter,3,147095950
1362.0,SPAIN,2023-01-24 12:00:00,2023-01-24 13:00:00,HOUR,Albacenter,3,147095950
1308.0,SPAIN,2023-01-24 13:00:00,2023-01-24 14:00:00,HOUR,Albacenter,3,147095950
1342.0,SPAIN,2023-01-24 14:00:00,2023-01-24 15:00:00,HOUR,Albacenter,3,147095950
1363.0,SPAIN,2023-01-24 15:00:00,2023-01-24 16:00:00,HOUR,Albacenter,3,147095950
1248.0,SPAIN,2023-01-24 16:00:00,2023-01-24 17:00:00,HOUR,Albacenter,3,147095950
1337.0,SPAIN,2023-01-24 17:00:00,2023-01-24 18:00:00,HOUR,Albacenter,3,147095950
1469.0,SPAIN,2023-01-24 18:00:00,2023-01-24 19:00:00,HOUR,Albacenter,3,147095950
1507.0,SPAIN,2023-01-24 19:00:00,2023-01-24 20:00:00,HOUR,Albacenter,3,147095950
1528.0,SPAIN,2023-01-24 20:00:00,2023-01-24 21:00:00,HOUR,Albacenter,3,147095950
1329.0,SPAIN,2023-01-24 21:00:00,2023-01-24 22:00:00,HOUR,Albacenter,3,147095950
1196.0,SPAIN,2023-01-25 10:00:00,2023-01-25 11:00:00,HOUR,Albacenter,3,147095950
1331.0,SPAIN,2023-01-25 11:00:00,2023-01-25 12:00:00,HOUR,Albacenter,3,147095950
