visits,country,start_date,end_date,period,mall_name,mall_id,hivestack_site_id
1116.0,SPAIN,2023-01-30 10:00:00,2023-01-30 11:00:00,HOUR,Albacenter,3,147095950
1213.0,SPAIN,2023-01-30 11:00:00,2023-01-30 12:00:00,HOUR,Albacenter,3,147095950
1366.0,SPAIN,2023-01-30 12:00:00,2023-01-30 13:00:00,HOUR,Albacenter,3,147095950
1327.0,SPAIN,2023-01-30 13:00:00,2023-01-30 14:00:00,HOUR,Albacenter,3,147095950
1465.0,SPAIN,2023-01-30 14:00:00,2023-01-30 15:00:00,HOUR,Albacenter,3,147095950
1319.0,SPAIN,2023-01-30 15:00:00,2023-01-30 16:00:00,HOUR,Albacenter,3,147095950
1242.0,SPAIN,2023-01-30 16:00:00,2023-01-30 17:00:00,HOUR,Albacenter,3,147095950
1388.0,SPAIN,2023-01-30 17:00:00,2023-01-30 18:00:00,HOUR,Albacenter,3,147095950
1465.0,SPAIN,2023-01-30 18:00:00,2023-01-30 19:00:00,HOUR,Albacenter,3,147095950
1397.0,SPAIN,2023-01-30 19:00:00,2023-01-30 20:00:00,HOUR,Albacenter,3,147095950
1464.0,SPAIN,2023-01-30 20:00:00,2023-01-30 21:00:00,HOUR,Albacenter,3,147095950
1297.0,SPAIN,2023-01-30 21:00:00,2023-01-30 22:00:00,HOUR,Albacenter,3,147095950
1054.0,SPAIN,2023-01-31 10:00:00,2023-01-31 11:00:00,HOUR,Albacenter,3,147095950
1222.0,SPAIN,2023-01-31 11:00:00,2023-01-31 12:00:00,HOUR,Albacenter,3,147095950
1294.0,SPAIN,2023-01-31 12:00:00,2023-01-31 13:00:00,HOUR,Albacenter,3,147095950
1324.0,SPAIN,2023-01-31 13:00:00,2023-01-31 14:00:00,HOUR,Albacenter,3,147095950
1384.0,SPAIN,2023-01-31 14:00:00,2023-01-31 15:00:00,HOUR,Albacenter,3,147095950
1273.0,SPAIN,2023-01-31 15:00:00,2023-01-31 16:00:00,HOUR,Albacenter,3,147095950
1251.0,SPAIN,2023-01-31 16:00:00,2023-01-31 17:00:00,HOUR,Albacenter,3,147095950
1374.0,SPAIN,2023-01-31 17:00:00,2023-01-31 18:00:00,HOUR,Albacenter,3,147095950
1477.0,SPAIN,2023-01-31 18:00:00,2023-01-31 19:00:00,HOUR,Albacenter,3,147095950
1571.0,SPAIN,2023-01-31 19:00:00,2023-01-31 20:00:00,HOUR,Albacenter,3,147095950
1575.0,SPAIN,2023-01-31 20:00:00,2023-01-31 21:00:00,HOUR,Albacenter,3,147095950
1267.0,SPAIN,2023-01-31 21:00:00,2023-01-31 22:00:00,HOUR,Albacenter,3,147095950
223.0,SPAIN,2023-01-30 10:00:00,2023-01-30 11:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
392.0,SPAIN,2023-01-30 11:00:00,2023-01-30 12:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
423.0,SPAIN,2023-01-30 12:00:00,2023-01-30 13:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
517.0,SPAIN,2023-01-30 13:00:00,2023-01-30 14:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
545.0,SPAIN,2023-01-30 14:00:00,2023-01-30 15:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
516.0,SPAIN,2023-01-30 15:00:00,2023-01-30 16:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
