uuid;name;day;start_hour;end_hour;visits
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-11;19:00:00;20:00:00;1161.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-11;20:00:00;21:00:00;1055.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-11;21:00:00;22:00:00;849.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;10:00:00;11:00:00;797.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;11:00:00;12:00:00;1063.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;12:00:00;13:00:00;1290.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;13:00:00;14:00:00;1241.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;14:00:00;15:00:00;1070.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;15:00:00;16:00:00;1027.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;16:00:00;17:00:00;1141.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;17:00:00;18:00:00;1278.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;18:00:00;19:00:00;1430.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;19:00:00;20:00:00;1398.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;20:00:00;21:00:00;1247.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-12;21:00:00;22:00:00;888.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;10:00:00;11:00:00;0.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;11:00:00;12:00:00;0.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;12:00:00;13:00:00;0.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;13:00:00;14:00:00;0.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;14:00:00;15:00:00;0.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;15:00:00;16:00:00;0.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;16:00:00;17:00:00;0.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;17:00:00;18:00:00;0.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;18:00:00;19:00:00;0.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;19:00:00;20:00:00;0.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;20:00:00;21:00:00;0.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-13;21:00:00;22:00:00;0.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;10:00:00;11:00:00;115.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;11:00:00;12:00:00;195.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;12:00:00;13:00:00;198.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;13:00:00;14:00:00;243.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;14:00:00;15:00:00;248.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;15:00:00;16:00:00;234.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;16:00:00;17:00:00;233.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;17:00:00;18:00:00;229.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;18:00:00;19:00:00;244.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;19:00:00;20:00:00;222.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;20:00:00;21:00:00;243.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-07;21:00:00;22:00:00;377.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;10:00:00;11:00:00;116.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;11:00:00;12:00:00;186.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;12:00:00;13:00:00;187.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;13:00:00;14:00:00;227.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;14:00:00;15:00:00;236.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;15:00:00;16:00:00;239.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;16:00:00;17:00:00;235.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;17:00:00;18:00:00;218.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;18:00:00;19:00:00;235.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;19:00:00;20:00:00;206.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;20:00:00;21:00:00;258.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-08;21:00:00;22:00:00;386.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;10:00:00;11:00:00;134.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;11:00:00;12:00:00;282.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;12:00:00;13:00:00;339.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;13:00:00;14:00:00;413.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;14:00:00;15:00:00;366.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;15:00:00;16:00:00;344.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;16:00:00;17:00:00;347.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;17:00:00;18:00:00;314.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;18:00:00;19:00:00;323.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;19:00:00;20:00:00;293.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;20:00:00;21:00:00;291.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-09;21:00:00;22:00:00;390.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;10:00:00;11:00:00;107.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;11:00:00;12:00:00;193.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;12:00:00;13:00:00;197.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;13:00:00;14:00:00;242.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;14:00:00;15:00:00;241.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;15:00:00;16:00:00;244.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;16:00:00;17:00:00;237.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;17:00:00;18:00:00;215.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;18:00:00;19:00:00;220.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;19:00:00;20:00:00;203.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;20:00:00;21:00:00;235.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-10;21:00:00;22:00:00;352.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;10:00:00;11:00:00;110.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;11:00:00;12:00:00;193.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;12:00:00;13:00:00;196.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;13:00:00;14:00:00;235.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;14:00:00;15:00:00;251.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;15:00:00;16:00:00;253.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;16:00:00;17:00:00;269.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;17:00:00;18:00:00;272.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;18:00:00;19:00:00;289.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;19:00:00;20:00:00;277.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;20:00:00;21:00:00;249.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-11;21:00:00;22:00:00;460.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;10:00:00;11:00:00;119.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;11:00:00;12:00:00;261.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;12:00:00;13:00:00;333.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;13:00:00;14:00:00;431.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;14:00:00;15:00:00;409.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;15:00:00;16:00:00;399.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;16:00:00;17:00:00;454.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;17:00:00;18:00:00;431.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;18:00:00;19:00:00;475.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;19:00:00;20:00:00;416.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;20:00:00;21:00:00;411.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-12;21:00:00;22:00:00;560.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;10:00:00;11:00:00;112.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;11:00:00;12:00:00;272.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;12:00:00;13:00:00;317.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;13:00:00;14:00:00;419.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;14:00:00;15:00:00;394.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;15:00:00;16:00:00;380.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;16:00:00;17:00:00;407.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;17:00:00;18:00:00;338.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;18:00:00;19:00:00;340.0
