uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;10.63;1.36;12.91;34.32;21.79;19.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;7.58;1.33;14.7;41.44;19.24;15.71
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;13.24;1.74;11.55;28.66;20.1;24.7
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;14.36;0.65;11.78;33.23;19.93;20.04
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;12.4;0.83;12.55;31.11;23.35;19.76
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;13.25;7.49;8.78;31.68;21.77;17.03
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;14.54;1.79;11.24;31.5;24.19;16.75
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;8.92;0.19;11.47;38.63;21.73;19.05
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;13.46;1.19;11.52;30.08;24.26;19.5
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;12.92;0.95;10.86;33.79;16.61;24.88
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;10.58;1.75;14.67;38.74;20.55;13.71
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;13.24;1.91;10.86;27.4;26.23;20.35
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;7.02;0.66;10.79;32.87;17.49;31.16
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;3.61;0.99;12.49;47.83;17.86;17.24
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;9.91;0.28;12.24;35.47;21.28;20.82
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;11.42;0.57;11.51;28.63;27.19;20.68
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;15.21;2.18;12.96;34.91;17.45;17.29
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;9.76;1.61;14.87;37.89;19.93;15.94
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;10.6;1.15;12.56;40.77;19.68;15.24
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;16.64;2.67;14.36;33.82;16.45;16.07
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;11.79;1.1;9.09;33.41;22.3;22.31
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;14.88;4.28;11.78;32.33;19.66;17.06
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;15.97;1.24;13.02;33.02;15.91;20.85
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;15.48;0.97;11.94;34.54;21.98;15.08
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;8.26;1.54;11.77;37.68;22.63;18.12
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;9.67;0.72;13.33;38.92;18.93;18.43
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;9.56;1.69;8.42;24.16;22.07;34.1
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;15.63;8.92;5.76;28.99;24.19;16.5
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;7.5;1.93;12.73;35.35;21.72;20.76
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;7.54;0.72;11.4;28.49;29.93;21.91
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;9.21;1.62;15.23;38.55;19.76;15.62
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;17.4;0.9;14.85;36.63;16.82;13.39
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;13.94;0.54;13.08;34.58;24.35;13.51
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;12.18;1.38;14.96;36.7;20.79;14.0
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;11.79;2.23;13.69;37.26;20.25;14.78
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;11.75;1.53;15.22;39.17;18.0;14.34
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;15.53;2.1;13.97;32.18;19.39;16.83
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;14.19;1.13;11.34;31.97;18.23;23.15
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;13.36;0.86;11.64;31.32;23.02;19.81
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;9.07;1.48;14.43;39.72;19.69;15.61
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;13.31;0.57;11.61;33.04;24.4;17.07
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;12.65;0.57;11.55;22.42;31.89;20.92
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;11.7;1.2;13.81;41.02;16.24;16.04
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;15.53;1.07;11.6;30.24;21.65;19.9
