uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;9.76;1.58;13.46;34.82;21.72;18.66
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;6.93;1.36;14.37;43.9;19.27;14.17
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;13.72;2.74;11.92;29.3;20.01;22.3
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;15.93;0.7;11.86;34.44;19.97;17.11
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;11.84;1.12;11.35;30.71;24.76;20.22
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;14.67;7.72;8.37;31.51;21.57;16.16
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;14.51;1.71;11.09;31.74;25.53;15.42
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;10.83;0.28;10.61;38.37;20.86;19.05
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;13.4;1.33;11.0;29.52;26.63;18.13
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;17.01;1.29;10.52;32.29;15.18;23.71
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;9.55;1.54;14.79;42.36;19.85;11.9
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;13.26;1.93;10.81;25.1;26.76;22.14
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;8.85;0.94;11.26;35.45;20.14;23.36
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;3.96;1.06;13.06;49.34;16.59;15.98
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;12.91;1.31;9.09;19.9;35.48;21.31
