visits,country,start_date,end_date,period,mall_name,mall_id,hivestack_site_id
1282.0,SPAIN,2023-01-06 13:00:00,2023-01-06 14:00:00,HOUR,Albacenter,3,147095950
1268.0,SPAIN,2023-01-06 14:00:00,2023-01-06 15:00:00,HOUR,Albacenter,3,147095950
1203.0,SPAIN,2023-01-06 15:00:00,2023-01-06 16:00:00,HOUR,Albacenter,3,147095950
1198.0,SPAIN,2023-01-06 16:00:00,2023-01-06 17:00:00,HOUR,Albacenter,3,147095950
1262.0,SPAIN,2023-01-06 17:00:00,2023-01-06 18:00:00,HOUR,Albacenter,3,147095950
1377.0,SPAIN,2023-01-06 18:00:00,2023-01-06 19:00:00,HOUR,Albacenter,3,147095950
1294.0,SPAIN,2023-01-06 19:00:00,2023-01-06 20:00:00,HOUR,Albacenter,3,147095950
1263.0,SPAIN,2023-01-06 20:00:00,2023-01-06 21:00:00,HOUR,Albacenter,3,147095950
1277.0,SPAIN,2023-01-06 21:00:00,2023-01-06 22:00:00,HOUR,Albacenter,3,147095950
1876.0,SPAIN,2023-01-07 10:00:00,2023-01-07 11:00:00,HOUR,Albacenter,3,147095950
2252.0,SPAIN,2023-01-07 11:00:00,2023-01-07 12:00:00,HOUR,Albacenter,3,147095950
2522.0,SPAIN,2023-01-07 12:00:00,2023-01-07 13:00:00,HOUR,Albacenter,3,147095950
2530.0,SPAIN,2023-01-07 13:00:00,2023-01-07 14:00:00,HOUR,Albacenter,3,147095950
2136.0,SPAIN,2023-01-07 14:00:00,2023-01-07 15:00:00,HOUR,Albacenter,3,147095950
1852.0,SPAIN,2023-01-07 15:00:00,2023-01-07 16:00:00,HOUR,Albacenter,3,147095950
2052.0,SPAIN,2023-01-07 16:00:00,2023-01-07 17:00:00,HOUR,Albacenter,3,147095950
2273.0,SPAIN,2023-01-07 17:00:00,2023-01-07 18:00:00,HOUR,Albacenter,3,147095950
2643.0,SPAIN,2023-01-07 18:00:00,2023-01-07 19:00:00,HOUR,Albacenter,3,147095950
2648.0,SPAIN,2023-01-07 19:00:00,2023-01-07 20:00:00,HOUR,Albacenter,3,147095950
2296.0,SPAIN,2023-01-07 20:00:00,2023-01-07 21:00:00,HOUR,Albacenter,3,147095950
1771.0,SPAIN,2023-01-07 21:00:00,2023-01-07 22:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 10:00:00,2023-01-08 11:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 11:00:00,2023-01-08 12:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 12:00:00,2023-01-08 13:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 13:00:00,2023-01-08 14:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 14:00:00,2023-01-08 15:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 15:00:00,2023-01-08 16:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 16:00:00,2023-01-08 17:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 17:00:00,2023-01-08 18:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 18:00:00,2023-01-08 19:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 19:00:00,2023-01-08 20:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 20:00:00,2023-01-08 21:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2023-01-08 21:00:00,2023-01-08 22:00:00,HOUR,Albacenter,3,147095950
233.0,SPAIN,2023-01-02 10:00:00,2023-01-02 11:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
520.0,SPAIN,2023-01-02 11:00:00,2023-01-02 12:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
672.0,SPAIN,2023-01-02 12:00:00,2023-01-02 13:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
854.0,SPAIN,2023-01-02 13:00:00,2023-01-02 14:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
807.0,SPAIN,2023-01-02 14:00:00,2023-01-02 15:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
738.0,SPAIN,2023-01-02 15:00:00,2023-01-02 16:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
779.0,SPAIN,2023-01-02 16:00:00,2023-01-02 17:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
