uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;11.1;1.21;13.25;34.83;21.01;18.6
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;7.04;1.33;14.66;42.75;19.15;15.08
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;14.29;1.76;12.81;29.14;18.89;23.11
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;13.73;0.75;11.65;34.5;19.73;19.64
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;17.41;0.98;11.36;29.7;21.81;18.74
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;13.91;7.16;8.88;31.98;22.14;15.94
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;13.64;1.92;11.53;32.66;24.74;15.51
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;8.99;0.22;11.41;40.5;19.53;19.36
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;13.5;1.14;10.95;29.6;25.28;19.53
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;13.69;0.96;10.84;33.11;15.83;25.57
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;9.2;1.53;15.77;42.96;18.89;11.65
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;13.99;1.77;10.82;26.65;26.95;19.81
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;5.78;0.49;10.91;30.92;16.46;35.44
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;3.31;0.92;12.37;48.32;17.91;17.17
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;10.27;0.37;13.23;36.43;20.56;19.14
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;9.47;0.57;11.38;26.59;29.84;22.15
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;16.66;2.41;12.87;35.28;16.67;16.1
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;10.26;1.71;15.28;38.58;19.26;14.9
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;10.28;1.18;13.46;41.52;19.47;14.09
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;16.73;2.67;14.28;34.85;16.55;14.92
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;11.61;1.22;8.54;33.1;23.41;22.13
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;15.35;4.61;11.61;32.81;19.28;16.34
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;16.57;1.4;12.89;33.19;15.96;19.99
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;14.85;1.1;11.84;36.12;21.49;14.6
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;9.43;1.53;11.62;39.08;21.72;16.62
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;9.97;0.6;13.62;38.59;18.27;18.95
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;9.97;1.83;8.07;23.6;23.39;33.14
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;16.26;8.54;5.78;29.07;23.87;16.49
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;8.49;2.03;12.29;35.42;22.38;19.4
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;10.33;0.79;13.1;35.71;24.45;15.63
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;9.94;1.66;15.54;39.14;19.26;14.46
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;17.39;1.03;15.36;36.61;17.24;12.39
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;14.04;0.63;13.63;35.36;24.12;12.21
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;12.49;1.07;15.67;36.18;21.04;13.55
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;12.34;2.52;14.04;38.29;19.52;13.28
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;11.26;1.6;15.76;39.74;17.78;13.86
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;15.86;2.23;13.76;32.43;19.47;16.24
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;14.46;1.19;11.48;32.35;17.86;22.67
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;13.68;0.81;11.62;31.23;23.46;19.19
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;8.39;1.5;14.47;41.4;19.53;14.71
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;17.06;0.43;11.69;38.73;20.24;11.85
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;15.15;0.7;12.41;27.95;28.21;15.57
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;11.75;1.1;14.23;40.74;16.3;15.88
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;15.11;0.95;12.98;29.98;22.16;18.81
